"entreprise";"adresse";"activite";"effectif";"creation";"dirigeants";"SIREN";"SIRET";"forme_jurid";"TVA_intracommu";"num_RCS";"capital_soc";"date_cloture_ex_compta";"inscrip_RCS";"val_ajoutee_2021";"val_ajoutee_2020";"val_ajoutee_2019";"val_ajoutee_2018";"val_ajoutee_2017";"val_ajoutee_2016";"val_ajoutee/CA(%)_2021";"val_ajoutee/CA(%)_2020";"val_ajoutee/CA(%)_2019";"val_ajoutee/CA(%)_2018";"val_ajoutee/CA(%)_2017";"val_ajoutee/CA(%)_2016";"tresor(€)_2021";"tresor(€)_2020";"tresor(€)_2019";"tresor(€)_2018";"tresor(€)_2017";"tresor(€)_2016";"taux_marge_oper(%)_2021";"taux_marge_oper(%)_2020";"taux_marge_oper(%)_2019";"taux_marge_oper(%)_2018";"taux_marge_oper(%)_2017";"taux_marge_oper(%)_2016";"taux_marge_brute(%)_2021";"taux_marge_brute(%)_2020";"taux_marge_brute(%)_2019";"taux_marge_brute(%)_2018";"taux_marge_brute(%)_2017";"taux_marge_brute(%)_2016";"taux_marge_EBITA(%)_2021";"taux_marge_EBITA(%)_2020";"taux_marge_EBITA(%)_2019";"taux_marge_EBITA(%)_2018";"taux_marge_EBITA(%)_2017";"taux_marge_EBITA(%)_2016";"taux_levier_2021";"taux_levier_2020";"taux_levier_2019";"taux_levier_2018";"taux_levier_2017";"taux_levier_2016";"taux_croiss_CA(%)_2021";"taux_croiss_CA(%)_2020";"taux_croiss_CA(%)_2019";"taux_croiss_CA(%)_2018";"taux_croiss_CA(%)_2017";"taux_croiss_CA(%)_2016";"salaires_et_charges_soc(€)_2021";"salaires_et_charges_soc(€)_2020";"salaires_et_charges_soc(€)_2019";"salaires_et_charges_soc(€)_2018";"salaires_et_charges_soc(€)_2017";"salaires_et_charges_soc(€)_2016";"salaires/CA(%)_2021";"salaires/CA(%)_2020";"salaires/CA(%)_2019";"salaires/CA(%)_2018";"salaires/CA(%)_2017";"salaires/CA(%)_2016";"res_net(€)_2021";"res_net(€)_2020";"res_net(€)_2019";"res_net(€)_2018";"res_net(€)_2017";"res_net(€)_2016";"res_exploitation(€)_2021";"res_exploitation(€)_2020";"res_exploitation(€)_2019";"res_exploitation(€)_2018";"res_exploitation(€)_2017";"res_exploitation(€)_2016";"rentab_fonds_prop(%)_2021";"rentab_fonds_prop(%)_2020";"rentab_fonds_prop(%)_2019";"rentab_fonds_prop(%)_2018";"rentab_fonds_prop(%)_2017";"rentab_fonds_prop(%)_2016";"rentab_eco(%)_2021";"rentab_eco(%)_2020";"rentab_eco(%)_2019";"rentab_eco(%)_2018";"rentab_eco(%)_2017";"rentab_eco(%)_2016";"ratio_stocks/CA_j_2021";"ratio_stocks/CA_j_2020";"ratio_stocks/CA_j_2019";"ratio_stocks/CA_j_2018";"ratio_stocks/CA_j_2017";"ratio_stocks/CA_j_2016";"ratio_endet_2021";"ratio_endet_2020";"ratio_endet_2019";"ratio_endet_2018";"ratio_endet_2017";"ratio_endet_2016";"marge_nette(%)_2021";"marge_nette(%)_2020";"marge_nette(%)_2019";"marge_nette(%)_2018";"marge_nette(%)_2017";"marge_nette(%)_2016";"marge_brute(€)_2021";"marge_brute(€)_2020";"marge_brute(€)_2019";"marge_brute(€)_2018";"marge_brute(€)_2017";"marge_brute(€)_2016";"liq_generale_2021";"liq_generale_2020";"liq_generale_2019";"liq_generale_2018";"liq_generale_2017";"liq_generale_2016";"impo_taxes(€)_2021";"impo_taxes(€)_2020";"impo_taxes(€)_2019";"impo_taxes(€)_2018";"impo_taxes(€)_2017";"impo_taxes(€)_2016";"fond_roulement_net_glob(€)_2021";"fond_roulement_net_glob(€)_2020";"fond_roulement_net_glob(€)_2019";"fond_roulement_net_glob(€)_2018";"fond_roulement_net_glob(€)_2017";"fond_roulement_net_glob(€)_2016";"etat_dettes_1an_au_plus(€)_2021";"etat_dettes_1an_au_plus(€)_2020";"etat_dettes_1an_au_plus(€)_2019";"etat_dettes_1an_au_plus(€)_2018";"etat_dettes_1an_au_plus(€)_2017";"etat_dettes_1an_au_plus(€)_2016";"dettes_fin(€)_2021";"dettes_fin(€)_2020";"dettes_fin(€)_2019";"dettes_fin(€)_2018";"dettes_fin(€)_2017";"dettes_fin(€)_2016";"delai_paie_fourn_j_2021";"delai_paie_fourn_j_2020";"delai_paie_fourn_j_2019";"delai_paie_fourn_j_2018";"delai_paie_fourn_j_2017";"delai_paie_fourn_j_2016";"delai_paie_client_j_2021";"delai_paie_client_j_2020";"delai_paie_client_j_2019";"delai_paie_client_j_2018";"delai_paie_client_j_2017";"delai_paie_client_j_2016";"couverture_BFR_2021";"couverture_BFR_2020";"couverture_BFR_2019";"couverture_BFR_2018";"couverture_BFR_2017";"couverture_BFR_2016";"couv_dettes_2021";"couv_dettes_2020";"couv_dettes_2019";"couv_dettes_2018";"couv_dettes_2017";"couv_dettes_2016";"capacite_remb_2021";"capacite_remb_2020";"capacite_remb_2019";"capacite_remb_2018";"capacite_remb_2017";"capacite_remb_2016";"capacite_autofin/CA(%)_2021";"capacite_autofin/CA(%)_2020";"capacite_autofin/CA(%)_2019";"capacite_autofin/CA(%)_2018";"capacite_autofin/CA(%)_2017";"capacite_autofin/CA(%)_2016";"capacite_autofin(€)_2021";"capacite_autofin(€)_2020";"capacite_autofin(€)_2019";"capacite_autofin(€)_2018";"capacite_autofin(€)_2017";"capacite_autofin(€)_2016";"autonomie_fin(%)_2021";"autonomie_fin(%)_2020";"autonomie_fin(%)_2019";"autonomie_fin(%)_2018";"autonomie_fin(%)_2017";"autonomie_fin(%)_2016";"EBITDA_EBE(€)_2021";"EBITDA_EBE(€)_2020";"EBITDA_EBE(€)_2019";"EBITDA_EBE(€)_2018";"EBITDA_EBE(€)_2017";"EBITDA_EBE(€)_2016";"CA(€)_2021";"CA(€)_2020";"CA(€)_2019";"CA(€)_2018";"CA(€)_2017";"CA(€)_2016";"BFR_j_de_CA_2021";"BFR_j_de_CA_2020";"BFR_j_de_CA_2019";"BFR_j_de_CA_2018";"BFR_j_de_CA_2017";"BFR_j_de_CA_2016";"BFR_hors_exploitation_j_de_CA_2021";"BFR_hors_exploitation_j_de_CA_2020";"BFR_hors_exploitation_j_de_CA_2019";"BFR_hors_exploitation_j_de_CA_2018";"BFR_hors_exploitation_j_de_CA_2017";"BFR_hors_exploitation_j_de_CA_2016";"BFR_hors_exploitation(€)_2021";"BFR_hors_exploitation(€)_2020";"BFR_hors_exploitation(€)_2019";"BFR_hors_exploitation(€)_2018";"BFR_hors_exploitation(€)_2017";"BFR_hors_exploitation(€)_2016";"BFR_exploitation_j_de_CA_2021";"BFR_exploitation_j_de_CA_2020";"BFR_exploitation_j_de_CA_2019";"BFR_exploitation_j_de_CA_2018";"BFR_exploitation_j_de_CA_2017";"BFR_exploitation_j_de_CA_2016";"BFR_exploitation(€)_2021";"BFR_exploitation(€)_2020";"BFR_exploitation(€)_2019";"BFR_exploitation(€)_2018";"BFR_exploitation(€)_2017";"BFR_exploitation(€)_2016";"BFR(€)_2021";"BFR(€)_2020";"BFR(€)_2019";"BFR(€)_2018";"BFR(€)_2017";"BFR(€)_2016"
"ADONYS";"64 RUE RAMBUTEAU 75003 PARIS 3";"Conseil en systèmes et logiciels informatiques";"Entre 10 et 19 salariés (donnée 2019)";"22/08/2014";"GUENOLE JULIEN GARCIA, ROMAIN ALEXANDRE SERRURIER, QUALAUDIT";"804 183 457";"804 183 457 00022";"SARL, société à responsabilité limitée";"FR42804183457";"804 183 457 R.C.S. Paris";"5 000,00 €";"31/12/2022";"INSCRIT  (au greffe de PARIS, le 01/12/2017)";;;;;;"1,75M";;;;;;"49,4";;;;;"464K";"409K";;;;;;"13,3";;;;;;100;;;;;;"13,5";;;;;;"-0,9";;;;;;110;;;;;;"1,25M";;;;;;"35,2";;;;;"288K";"331K";;;;;;"471K";;;;;;"56,9";;;;;;"21,4";;;;;;0;;;;;"-0,5";"-0,7";;;;;;"9,3";;;;;;"3,55M";;;;;;;;;;;;"22,6K";;;;;"854K";"527K";;;;;;;;;;;"39,9K";535;;;;;;"92,5";;;;;;102;;;;;"2,2";"4,5";;;;;"-0,1";"-0,1";;;;;;"-1,2";;;;;;"9,5";;;;;;"338K";;;;;"39,9";"37,5";;;;;;"479K";;;;;;"3,55M";;;;;;12;;;;;;-43;;;;;"-202K";"-418K";;;;;;55;;;;;"592K";"536K";;;;;"390K";"118K"
"ADP FRANCE";"31 AV JULES QUENTIN 92000 NANTERRE";"Traitement de données, hébergement et activités connexes";"Entre 20 et 49 salariés (donnée 2019)";"01/01/1954";"Ian James BURDON, DELOITTE & ASSOCIES, BEAS";"775 690 662";"775 690 662 00082";"SAS, société par actions simplifiée";"FR94775690662";"775 690 662 R.C.S. Nanterre";"3 500 100,00 €";"30/06/2022";"INSCRIT  (au greffe de NANTERRE, le 21/01/1998)";"10,7M";"9,77M";"15,7M";"17,6M";;;"6,3";"5,9";"9,8";"11,6";;;"4,25M";"2,75M";"1,4M";"1,59M";;;"9,2";14;"25,7";"29,8";;;111;120;119;122;;;10;"14,4";"26,2";"30,8";;;"-0,3";"-0,1";0;0;;;"1,5";"3,7";"5,8";"1,4";;;"2,12M";"2,79M";"2,88M";"2,73M";;;"1,3";"1,7";"1,8";"1,8";;;"12,3M";"15,3M";"27,4M";"29,6M";;;"15,6M";"23,3M";"41,3M";"45,2M";;;"61,1";"46,7";81;"88,3";;;16;"16,8";"34,3";"41,7";;;0;0;0;0;;;"-0,2";"-0,1";0;0;;;"7,3";"9,2";17;"19,5";;;"187M";"199M";"191M";"185M";;;"1,1";"1,3";"1,2";"1,3";;;"676K";"1,26M";"1,14M";"1,02M";;;"7,25M";"19,7M";"9,07M";"10,7M";;;"54,1M";"57,4M";"44,2M";"35,2M";;;5;5;41;;;;"73,8";"61,7";"64,8";"52,7";;;101;134;103;"95,7";;;"2,5";"1,2";"1,2";"1,2";;;"-3,5";"-5,2";"-18,9";"-15,8";;;"-0,3";"-0,2";0;"-0,1";;;"8,2";"9,6";"17,5";"20,5";;;"13,8M";"16M";"28,2M";"31,1M";;;"26,2";"35,9";"42,4";"47,2";;;"17M";"24M";"42,1M";"46,8M";;;"169M";"167M";"161M";"152M";;;"6,3";"37,1";"17,5";"21,8";;;"-24,6";"-38,9";"-26,5";"-27,3";;;"-11,4M";"-17,8M";"-11,7M";"-11,4M";;;"30,9";76;44;"49,1";;;"14,3M";"34,7M";"19,4M";"20,4M";;;"2,91M";"16,9M";"7,67M";"9,08M";;
"AFNET SERVICES
(BOOST CONSEIL)";"30 RUE DE MIROMESNIL 75008 PARIS 8";"Ingénierie, études techniques";"Entre 3 et 5 salariés (donnée 2019)";"07/04/2004";"Jean Brangé";"453 612 137";"453 612 137 00027";"SAS, société par actions simplifiée";"FR46453612137";"453 612 137 R.C.S. Paris";"66 086,00 €";"31/12/2022";"INSCRIT  (au greffe de PARIS, le 21/05/2004)";;;;;"256K";"443K";;;;;"25,7";"28,8";;;"61,1K";"48,1K";"171K";"3,96K";;;;;"-11,1";"8,6";;;;;100;103;;;;;"-10,7";"8,8";;;;;"1,6";"0,2";;;;;"-35,2";"2,8";;;;;"353K";"338K";;;;;"35,4";22;;;"11,2K";"58,7K";"-47,1K";"170K";;;;;"-110K";"132K";;;;;"-11,8";"38,1";;;;;"-6,1";"15,4";;;;;0;0;;;"-0,1";"-0,1";"-0,4";0;;;;;"-4,7";"11,1";;;;;"995K";"1,58M";;;;;;;;;;;"9,62K";"9,78K";;;"396K";"415K";"345K";"423K";;;;;;;;;203;"9,18K";502;"26,1K";;;;;106;142;;;;;156;214;;;"1,2";"1,1";2;1;;;"-1,5";"-1,3";"-0,3";"2,2";;;;;4;"0,2";;;;;"-4,3";"7,9";;;;;"-43,1K";"121K";;;"60,4";"58,3";"51,6";"40,5";;;;;"-106K";"135K";;;;;"995K";"1,54M";;;;;"63,8";"99,6";;;;;"-13,5";"-13,1";;;"-7,24K";"-8,75K";"-36,8K";"-55,2K";;;;;"77,3";113;;;"342K";"376K";"211K";"474K";;;"335K";"367K";"174K";"419K"
"AGIL - IT";"13 RUE CAMILLE DESMOULINS 92130 ISSY-LES-MOULINEAUX";"Conseil en systèmes et logiciels informatiques";"Entre 10 et 19 salariés (donnée 2019)";"06/07/2015";"Khallil DRISSI EL BOUZAIDI";"812 523 298";"812 523 298 00030";"EURL, entreprise unipersonnelle à responsabilité limitée";"FR64812523298";"812 523 298 R.C.S. Nanterre";"50 000,00 €";"31/12/2022";"INSCRIT  (au greffe de NANTERRE, le 13/07/2015)";;;;"953K";;"52,5K";;;;"81,7";;"67,1";;;;"88,9K";;"73,4K";;;;"5,1";;"63,6";;;;101;;"96,1";;;;"5,7";;67;;;;"-0,9";;"-1,4";;;;;;;;;;"883K";;;;;;"75,7";;0;;;;"56,9K";;"40,1K";;;;"59,8K";;"49,7K";;;;"68,2";;"44,8";;;;"12,6";;"38,7";;;;0;;0;;;;"-0,7";;"-0,8";;;;"4,9";;"51,3";;;;"1,18M";;"75,2K";;;;;;;;;;"16,4K";;134;;;;"68,5K";;"84,3K";;;;;;;;;;"32,3K";;;;;;202;;0;;;;"49,1";;"90,3";;;;"-3,4";;"7,7";;;;"-0,8";;"-0,1";;;;"-0,9";;"-1,7";;;;"5,4";;"54,6";;;;"63,3K";;"42,7K";;;;"18,5";;"86,2";;;;"66,2K";;"52,4K";;;;"1,17M";;"78,2K";;;;"-6,4";;"50,9";;;;"-18,5";;"-39,4";;;;"-59,1K";;"-8,44K";;;;"12,1";;"90,3";;;;"38,7K";;"19,4K";;;;"-20,4K";;"10,9K"
"AGILIA TECHNOLOGY";"5 ALL DE L EUROPE 67960 ENTZHEIM";"Autres activités informatiques";"Entre 1 et 2 salariés (donnée 2019)";"09/04/2017";"Amélie WAGNER";"829 626 456";"829 626 456 00026";"SAS, société par actions simplifiée";"FR30829626456";"829 626 456 R.C.S. Strasbourg";"10 500,00 €";"31/12/2022";"INSCRIT  (au greffe de STRASBOURG, le 08/06/2017)";;;;;"106K";;;;;;"67,1";;;;;;"17,2K";;;;;;"18,4";;;;;;100;;;;;;"18,4";;;;;;"-0,6";;;;;;;;;;;;"76,4K";;;;;;"48,3";;;;;;"24,8K";;;;;;"29,1K";;;;;;"76,8";;;;;;"29,2";;;;;;0;;;;;;"-0,5";;;;;;"15,7";;;;;;"158K";;;;;;;;;;;;558;;;;;;"31,9K";;;;;;;;;;;;;;;;;;107;;;;;;147;;;;;;"2,2";;;;;;0;;;;;;"-0,7";;;;;;"15,7";;;;;;"24,8K";;;;;;"38,1";;;;;;"29,1K";;;;;;"158K";;;;;;"33,9";;;;;;"-77,7";;;;;;"-33,6K";;;;;;112;;;;;;"48,3K";;;;;;"14,7K";
"ALIZNET";"11 B RUE BACHAUMONT 75002 PARIS 2";"Conseil en systèmes et logiciels informatiques";"Entre 50 et 99 salariés (donnée 2019)";"01/07/2002";"FAMILY, CNC CONSEIL, SOFI Conseils Et Etudes, Georges GROSS, GROUPE INTERNATIONAL FIDUCIAIRE POUR L'EXPERTISE ET LE COMMISSARIAT AUX COMPTES";"443 214 424";"443 214 424 00048";"SAS, société par actions simplifiée";"FR70443214424";"443 214 424 R.C.S. Paris";"104 350,00 €";"30/06/2022";"INSCRIT  (au greffe de PARIS, le 01/08/2006)";;"5,03M";"6,59M";"6,8M";"7,5M";;;61;"69,7";"68,8";"72,2";;;"4,1M";"2,32M";"2,23M";"2,25M";;;"-7,5";"2,4";"-1,6";12;;;"94,8";"95,7";"96,4";"96,5";;;"-6,4";"3,7";"-0,4";"12,8";;;"3,9";"-4,7";"39,1";"-1,1";;;"-12,9";"-4,3";"-4,9";"36,7";;;"5,4M";"6,07M";"6,67M";"6M";;;"65,6";"64,2";"67,6";"57,7";;;"-398K";"439K";"44K";"1,04M";;;"-619K";"228K";"-160K";"1,25M";;;"-13,9";"12,5";"1,3";"25,6";;;"-4,9";"7,1";"0,6";15;;;0;0;0;0;;;"-0,7";"-0,5";"-0,5";"-0,4";;;"-4,8";"4,6";"0,4";10;;;"7,81M";"9,04M";"9,52M";"10M";;;"1,5";"2,5";"2,1";"2,5";;;"170K";"242K";"222K";"263K";;;"4,24M";"3,6M";"3,35M";"3,65M";;;"4,98M";"2,24M";"2,95M";"2,27M";;;"2,03M";"692K";"534K";"750K";;;104;"45,7";"97,4";"42,7";;;130;103;124;104;;;"29,7";"2,8";3;"2,6";;;"-0,3";"-0,4";"-0,4";"-0,8";;;"7,2";"-2,9";"-10,5";"-1,3";;;"-3,5";"5,9";"1,6";"10,8";;;"-288K";"560K";"161K";"1,12M";;;"34,8";"56,3";51;"58,6";;;"-527K";"346K";"-43,3K";"1,33M";;;"8,23M";"9,45M";"9,88M";"10,4M";;;"6,4";"49,8";"41,4";"49,3";;;"-82,7";"-39,2";"-51,8";-43;;;"-1,87M";"-1,02M";"-1,4M";"-1,22M";;;"89,1";89;"93,2";"92,3";;;"2,01M";"2,3M";"2,52M";"2,63M";;;"143K";"1,29M";"1,12M";"1,4M";
"ALLEGIS GROUP SAS
(TEKSYSTEMS, ASTON CARTER, AEROTEK)";"6 RUE DARU 75008 PARIS 8";"Conseil pour les affaires et autres conseils de gestion";"Entre 50 et 99 salariés (donnée 2019)";"19/07/2007";"Grant Wafer, Andrew Williams, PRICEWATERHOUSECOOPERS AUDIT - SOCIETE ANONYME, Patrice Morot";"499 449 494";"499 449 494 00057";"SASU, société par actions simplifiée unipersonnelle";"FR67499449494";"499 449 494 R.C.S. Paris";"37 500,00 €";"31/12/2022";"INSCRIT  (au greffe de PARIS, le 23/05/2008)";;"5,91M";"6,85M";"7,77M";"8,48M";;;"12,5";"14,9";"16,1";"16,3";;;;;"35,3K";;;;"1,4";"3,3";3;"3,8";;;101;101;101;100;;;"1,6";"3,5";"4,1";"4,1";;;"0,5";"0,9";"0,7";"3,4";;;"3,1";"-4,7";"-7,1";"8,6";;;"5,03M";"5M";"5,54M";"6,12M";;;"10,6";"10,9";"11,5";"11,8";;;"501K";"939K";"821K";"1,07M";;;"643K";"1,53M";"1,44M";"1,97M";;;"7,7";"15,6";"16,1";"25,1";;;"2,9";"5,4";4;"4,7";;;0;0;0;0;;;"0,1";"0,2";"0,3";"1,7";;;"1,1";2;"1,7";"2,1";;;"47,7M";"46,3M";"48,7M";"52,2M";;;"1,6";"1,7";"1,4";"1,9";;;"270K";"361K";"325K";"348K";;;"6,66M";"7,1M";"5,9M";"10,9M";;;"10,2M";"10,1M";"13,9M";"11,6M";;;"422K";"1,49M";"1,32M";"7,16M";;;40;"45,3";"70,7";"43,9";;;91;"97,9";138;151;;;1;1;1;1;;;"0,8";"0,3";"0,4";"0,1";;;"0,7";"1,4";1;"5,8";;;"1,3";"2,2";"2,8";"2,4";;;"626K";"1,03M";"1,34M";"1,22M";;;"37,9";"34,7";"25,1";"18,6";;;"769K";"1,62M";"1,96M";"2,12M";;;"47,5M";"46,1M";"48,3M";"52M";;;"51,1";"56,2";"43,9";"76,1";;;"-4,9";-3;"-34,3";"-38,5";;;"-633K";"-375K";"-4,55M";"-5,49M";;;56;"59,2";"78,2";115;;;"7,29M";"7,47M";"10,4M";"16,3M";;;"6,66M";"7,1M";"5,81M";"10,8M";
"ALLIANZES";"4 RUE DELESALLE 59110 LA MADELEINE";"Conseil en systèmes et logiciels informatiques";"Entre 10 et 19 salariés (donnée 2019)";"10/12/2012";"Emmanuel TOULISSE, Sebastien CHEVALIER, MAZARS";"790 112 171";"790 112 171 00034";"SAS, société par actions simplifiée";"FR02790112171";"790 112 171 R.C.S. Lillemetropole";"1 367 267,00 €";"31/12/2022";"INSCRIT  (au greffe de LILLEMETROPOLE, le 27/12/2012)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ALSTOM";"48 RUE ALBERT DHALENNE 93400 SAINT-OUEN-SUR-SEINE";"Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright";"Entre 1 et 2 salariés (donnée 2019)";"29/10/1992";"Henri POUPART LAFARGE, BOUYGUES, Bi Yong SO, Sylvie GUERY, Sylvie, Yolande, Soukeina KANDE, Yann, Jules, Gabriel DELABRIERE, Clotilde, Stéphanie FRICKER, et 8 autres.";"389 058 447";"389 058 447 00050";"SA à conseil d'administration (s.a.i.)";"FR58389058447";"389 058 447 R.C.S. Bobigny";"2 613 122 092,00 €";"31/03/2023";"INSCRIT  (au greffe de BOBIGNY, le 19/11/2015)";;;"2M";;;;;;;;;;;;;;"1M";;;;;;;;;;;;;;;;;;;;50;;148;;;;;;;;;;"125M";;;;;;;;;;;;"222M";;"1,53Mds";;"-23M";;"34M";;"6M";;;;"1,5";;"18,7";;"-0,4";;"1,4";;"16,4";;"-0,3";;;;;;;;"0,1";;"0,1";;"0,2";;;;;;;;"159M";;"6M";;;;;;0;;"0,1";;;;;;;;"5,16Mds";;"9,12Mds";;"-62M";;;;"1,04Mds";;"307M";;"1,7Mds";;"886M";;"1,54Mds";;;;-365;;;;;;;;;;1;;"-42,2";;"0,9";;"6,4";;"10,5";;"5,2";;"7,7";;"0,6";;-67;;;;;;;;"222M";;"1,53Mds";;"-23M";;88;;"87,7";;"79,6";;"34M";;"6M";;;;0;;0;;0;;;;;;;;;;;;;;"5,27Mds";;"-214M";;"-64M";;;;;;;;"-112M";;"-2M";;"-3M";;"5,16Mds";;"-216M";;"-67M";
"ALTECH";"15 AV DE VERDUN 14000 CAEN";"Conseil en systèmes et logiciels informatiques";"Entre 3 et 5 salariés (donnée 2019)";"01/07/1995";"Gilles TOUZAN";"401 489 174";"401 489 174 00037";"SARL, société à responsabilité limitée";"FR07401489174";"401 489 174 R.C.S. Caen";"33 600,00 €";"30/06/2022";"INSCRIT  (au greffe de CAEN, le 10/07/1995)";;;;;;;;;;;;;"44,9K";"70,5K";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"27,7K";"33,1K";;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0,4";"0,2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;"178K";"152K";;;;;;;;;;;"138K";"124K";;;;;;;;;;;;;;;;;"1,3";"1,9";;;;;"2,3";"3,6";;;;;;;;;;;;;;;;;;;;;;;"34,7";"34,7";;;;;;;;;;;;;;;;;;;;;;;;;;;;;"-290K";"-240K";;;;;;;;;;;"423K";"322K";;;;;"133K";"81,8K";;;;
"ALTEN SIR";"221 B BD JEAN JAURES 92100 BOULOGNE-BILLANCOURT";"Autres organisations fonctionnant par adhésion volontaire";"Entre 1 et 2 salariés (donnée 2019)";"01/01/2008";;"509 649 398";"509 649 398 00013";"Comité social économique d'établissement";"FR62509649398";;;;"Non inscrit";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"AMEG TECHNOLOGIES";"19 RUE DE LA HAYE 67300 SCHILTIGHEIM";"Ingénierie, études techniques";"Entre 3 et 5 salariés (donnée 2019)";"12/02/2019";"Matthieu, Alec, Dominique LUQUES, Thomas LUQUES";"848 968 707";"848 968 707 00028";"SARL, société à responsabilité limitée";"FR25848968707";"848 968 707 R.C.S. Strasbourg";"2 000,00 €";"31/03/2023";"INSCRIT  (au greffe de STRASBOURG, le 15/03/2021)";;"577K";;;;;;"82,6";;;;;;"146K";;;;;;"0,9";;;;;;106;;;;;;"8,9";;;;;;"-2,3";;;;;"-27,4";;;;;;;"514K";;;;;;"73,6";;;;;"3,49K";"4,02K";;;;;;"6,58K";;;;;;"66,8";;;;;;"1,1";;;;;;0;;;;;;"-24,2";;;;;;"0,6";;;;;;"737K";;;;;;"0,9";;;;;;"11,1K";;;;;;"-27,5K";;;;;;"371K";;;;;;113;;;;;;569;;;;;;84;;;;;;"0,2";;;;;;"-0,2";;;;;;"-2,4";;;;;;"8,6";;;;;;"59,9K";;;;;;"1,6";;;;;;"62,5K";;;;;"507K";"699K";;;;;;"-90,5";;;;;;"-75,6";;;;;;"-145K";;;;;;"-14,9";;;;;;"-28,6K";;;;;;"-173K";;;;
"ANSYS FRANCE";"14 PL GEORGES POMPIDOU 78180 MONTIGNY-LE-BRETONNEUX";"Édition de logiciels applicatifs";"Entre 250 et 499 salariés (donnée 2019)";"01/12/1992";"Florian VOGEL, Richard BELCHER, Sefico Audit";"389 371 816";"389 371 816 00056";"SASU, société par actions simplifiée unipersonnelle";"FR41389371816";"389 371 816 R.C.S. Versailles";"37 674 040,00 €";"31/12/2022";"INSCRIT  (au greffe de VERSAILLES, le 18/12/1992)";;;"71,3M";"45,3M";"43,6M";;;;"85,2";"80,9";"87,5";;;;"2,71M";"296K";"1,31M";;;;"9,9";"3,2";"1,9";;;;101;114;114;;;;"13,1";"4,2";"3,6";;;;"7,3";"34,1";"-0,7";;;"28,5";"49,4";"12,5";"4,7";;;;"41,8M";"27,8M";"22,9M";;;;50;"49,6";46;;;"8,06M";"5,69M";"16M";"1,13M";;;;"8,24M";"1,77M";"937K";;;;"2,6";"7,4";"1,9";;;;"1,5";"4,5";"1,1";;;;0;0;0;;;;"0,4";"0,4";0;;;;"6,8";"28,5";"2,3";;;;"84,4M";"64M";"56,9M";;;;"1,2";"0,8";"0,8";;;;"1,68M";"1,36M";"945K";;;;"6,47M";"-15,9M";"-9,48M";;;;"61,5M";"52,5M";"35,7M";;;;"82,7M";"80,6M";;;;;"36,2";"30,4";"32,8";;;;175;245;181;;;;"1,7";1;"0,9";;;;"3,8";"3,9";"-53,9";;;;"9,5";"7,3";"-0,2";;;;10;"19,5";"15,3";;;;"8,38M";"10,9M";"7,6M";;;;59;"60,2";"58,5";;;;"10,9M";"2,35M";"1,79M";;;"107M";"83,6M";"56M";"49,8M";;;;"16,4";-106;"-79,2";;;;-151;-342;-254;;;;"-34,6M";"-52,4M";"-34,6M";;;;168;236;175;;;;"38,4M";"36,2M";"23,9M";;;;"3,76M";"-16,2M";"-10,8M";
